Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location,Instrument,latitude_and_longitude,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local-scale_environmental_context,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,unique_id,isolation_source
SRR35904030,RNA-Seq,302,380205091312,PRJNA1247874,SAMN52958981,Metagenome or environmental,wastewater,125368286258,UNIVERSITY OF MISSOURI,2024-02-06,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953380,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240206,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T02:28:00Z,2,Columbia_MO_20240206,SRP577320,,wastewater
SRR35904031,RNA-Seq,302,378415710810,PRJNA1247874,SAMN52958980,Metagenome or environmental,wastewater,118034149556,UNIVERSITY OF MISSOURI,2024-01-30,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953379,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240130,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T01:41:00Z,2,Columbia_MO_20240130,SRP577320,,wastewater
SRR35904032,RNA-Seq,302,405212604180,PRJNA1247874,SAMN52958979,Metagenome or environmental,wastewater,135155383596,UNIVERSITY OF MISSOURI,2024-01-23,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953378,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240123,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T03:19:00Z,2,Columbia_MO_20240123,SRP577320,,wastewater
SRR35904033,RNA-Seq,302,457030798832,PRJNA1247874,SAMN52959028,Metagenome or environmental,wastewater,71167758983,UNIVERSITY OF MISSOURI,2024-12-31,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953377,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241231,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-29T00:00:00Z,2025-12-29T23:43:00Z,2,Columbia_MO_20241231,SRP577320,,wastewater
SRR35904034,RNA-Seq,302,408211698532,PRJNA1247874,SAMN52958978,Metagenome or environmental,wastewater,129772718565,UNIVERSITY OF MISSOURI,2024-01-16,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953376,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq 6000,38.9222 N 92.4087 W,Columbia_MO_20240116,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-30T00:00:00Z,2025-12-30T02:59:00Z,2,Columbia_MO_20240116,SRP577320,,wastewater
SRR35904035,RNA-Seq,302,401966893306,PRJNA1247874,SAMN52959027,Metagenome or environmental,wastewater,75276973565,UNIVERSITY OF MISSOURI,2024-12-24,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953375,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241224,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-12-29T00:00:00Z,2025-12-29T23:43:00Z,2,Columbia_MO_20241224,SRP577320,,wastewater
SRR35904036,RNA-Seq,302,296446531362,PRJNA1247874,SAMN52959026,Metagenome or environmental,wastewater,50259054590,UNIVERSITY OF MISSOURI,2024-12-17,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953374,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241217,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T00:56:00Z,2,Columbia_MO_20241217,SRP577320,,wastewater
SRR35904037,RNA-Seq,302,224884869874,PRJNA1247874,SAMN52959025,Metagenome or environmental,wastewater,46777866507,UNIVERSITY OF MISSOURI,2024-12-10,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953373,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241210,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-14T00:00:00Z,2025-11-14T22:51:00Z,2,Columbia_MO_20241210,SRP577320,,wastewater
SRR35904038,RNA-Seq,302,202485726778,PRJNA1247874,SAMN52959024,Metagenome or environmental,wastewater,42684735005,UNIVERSITY OF MISSOURI,2024-12-03,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953372,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241203,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T00:08:00Z,2,Columbia_MO_20241203,SRP577320,,wastewater
SRR35904039,RNA-Seq,302,270503946464,PRJNA1247874,SAMN52959023,Metagenome or environmental,wastewater,59347167487,UNIVERSITY OF MISSOURI,2024-11-26,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",composite wastewater,SRX30953371,USA,North America,"USA: Columbia Wastewater Treatment Plant, MO",Illumina NovaSeq X,38.9222 N 92.4087 W,Columbia_MO_20241126,PAIRED,cDNA,METAGENOMIC,influent wastewater,wastewater metagenome,ILLUMINA,2025-11-15T00:00:00Z,2025-11-15T01:09:00Z,2,Columbia_MO_20241126,SRP577320,,wastewater
